view_link,download_link,title,description,fname,tags
https://bigsoundbank.com/detail-0229-computer-keyboard.html,https://bigsoundbank.com/UPLOAD/wav/0229.wav,Computer keyboard,Sound of a keyboard desktop.,0229.wav,
https://bigsoundbank.com/detail-1354-small-stream-4.html,https://bigsoundbank.com/UPLOAD/wav/1354.wav,Small stream 4,A small mountain stream.,1354.wav,
https://bigsoundbank.com/detail-0684-walla-group-averages-discussions.html,https://bigsoundbank.com/UPLOAD/wav/0684.wav,Walla group : Averages discussions,About 25 people. They discuss the medium level. No music or other sounds. Walla group. French.,0684.wav,
https://bigsoundbank.com/detail-1311-censorship-2.html,https://bigsoundbank.com/UPLOAD/wav/1311.wav,Censorship 2,,1311.wav,
https://bigsoundbank.com/detail-0600-acceleration-aston-martin.html,https://bigsoundbank.com/UPLOAD/wav/0600.wav,Acceleration Aston Martin,Acceleration of an Aston Martin.,0600.wav,
https://bigsoundbank.com/detail-0564-the-sncf-jingle-2.html,https://bigsoundbank.com/UPLOAD/wav/0564.wav,SNCF Jingle 2,,0564.wav,
https://bigsoundbank.com/detail-1313-message-sent.html,https://bigsoundbank.com/UPLOAD/wav/1313.wav,Message sent,,1313.wav,
https://bigsoundbank.com/detail-1795-whoosh-3.html,https://bigsoundbank.com/UPLOAD/wav/1795.wav,Whoosh 3,Whoosh made with a long rope.,1795.wav,
https://bigsoundbank.com/detail-1286-car-on-a-road.html,https://bigsoundbank.com/UPLOAD/wav/1286.wav,Car on a road,,1286.wav,
https://bigsoundbank.com/detail-0908-wind-in-tall-grass.html,https://bigsoundbank.com/UPLOAD/wav/0908.wav,Wind in tall grass,Sound of wind in the tall grass of a field.,0908.wav,
https://bigsoundbank.com/detail-1074-bubbles-burst.html,https://bigsoundbank.com/UPLOAD/wav/1074.wav,Bubbles burst,31 bubbles bursting. Sound effect made with the mouth.,1074.wav,
https://bigsoundbank.com/detail-1703-apartment-door-opening-2.html,https://bigsoundbank.com/UPLOAD/wav/1703.wav,"Apartment door, opening 2",Opening of a Parisian apartment door. Grinding.,1703.wav,
https://bigsoundbank.com/detail-0375-phone-ring-5.html,https://bigsoundbank.com/UPLOAD/wav/0375.wav,Phone ring 5,Phone ring 5,0375.wav,
https://bigsoundbank.com/detail-1662-howling-of-a-girl-1.html,https://bigsoundbank.com/UPLOAD/wav/1662.wav,howling of a girl 1,Howling of a girl of 4 years and a half.,1662.wav,
https://bigsoundbank.com/detail-1103-breathless-man.html,https://bigsoundbank.com/UPLOAD/wav/1103.wav,Breathless man,A man out of breath after a few sports exercises. Can be looped.,1103.wav,
https://bigsoundbank.com/detail-0448-iphone-camera.html,https://bigsoundbank.com/UPLOAD/wav/0448.wav,iPhone - Camera,iPhone - Camera,0448.wav,
https://bigsoundbank.com/detail-0452-iphone-ringtone-marimba.html,https://bigsoundbank.com/UPLOAD/wav/0452.wav,Marimba Ringtone - iPhone,,0452.wav,
https://bigsoundbank.com/detail-0124-rain-and-storm.html,https://bigsoundbank.com/UPLOAD/wav/0124.wav,Rain and Storm 1,Heavy rain. A thunderstorm at the end,0124.wav,
https://bigsoundbank.com/detail-1072-school-playground-football.html,https://bigsoundbank.com/UPLOAD/wav/1072.wav,"School playground, football",School playground during a football match.,1072.wav,
https://bigsoundbank.com/detail-1796-whoosh-4.html,https://bigsoundbank.com/UPLOAD/wav/1796.wav,Whoosh 4,Whoosh made with a long rope.,1796.wav,
https://bigsoundbank.com/detail-1046-small-waves-facing-the-ocean.html,https://bigsoundbank.com/UPLOAD/wav/1046.wav,Small waves facing the ocean,,1046.wav,
https://bigsoundbank.com/detail-0283-song-of-rooster.html,https://bigsoundbank.com/UPLOAD/wav/0283.wav,Rooster song,,0283.wav,
https://bigsoundbank.com/detail-2029-gendarmerie-siren-passage.html,https://bigsoundbank.com/UPLOAD/wav/2029.wav,"Gendarmerie, siren, passage","Two-tone siren of the French Gendarmerie. Doppler-Fizeau effect of a passage from left to right, made by computer. No engine noise, it's up to you to choose the noise of your vehicle according to your project.",2029.wav,
https://bigsoundbank.com/detail-0376-footsteps-shoe-on-parquet.html,https://bigsoundbank.com/UPLOAD/wav/0376.wav,"Footsteps, shoe on parquet","Footsteps, shoe on parquet",0376.wav,
https://bigsoundbank.com/detail-0081-paris-apartment-open-window.html,https://bigsoundbank.com/UPLOAD/wav/0081.wav,Paris apartment. Open window,Paris apartment. The first floor. Open window. Before crossing a boulevard (acceleration and braking of vehicles),0081.wav,
https://bigsoundbank.com/detail-1501-door-slamming-4.html,https://bigsoundbank.com/UPLOAD/wav/1501.wav,Door slamming 4,Interior door slamming with a draft.,1501.wav,
https://bigsoundbank.com/detail-0261-horn-of-a-ship-1.html,https://bigsoundbank.com/UPLOAD/wav/0261.wav,Horn of a ship 1,Horn used by cruise ships,0261.wav,
https://bigsoundbank.com/detail-1023-explosion-far-away.html,https://bigsoundbank.com/UPLOAD/wav/1023.wav,Explosion far away 1,A distant explosion of an agricultural gun designed to frighten birds.,1023.wav,
https://bigsoundbank.com/detail-1859-evening-birds.html,https://bigsoundbank.com/UPLOAD/wav/1859.wav,Evening birds,,1859.wav,
https://bigsoundbank.com/detail-0135-church-bell.html,https://bigsoundbank.com/UPLOAD/wav/0135.wav,Church bell,Church bell. Some birdsong very low. 6 hours,0135.wav,
https://bigsoundbank.com/detail-0148-glass-burst.html,https://bigsoundbank.com/UPLOAD/wav/0148.wav,Glass burst,Glass burst,0148.wav,
https://bigsoundbank.com/detail-0221-pencil.html,https://bigsoundbank.com/UPLOAD/wav/0221.wav,Pencil,Pencil,0221.wav,
https://bigsoundbank.com/detail-0514-footsteps-shoe-on-concrete.html,https://bigsoundbank.com/UPLOAD/wav/0514.wav,"Footsteps, shoe on concrete","Footsteps, shoe on concrete",0514.wav,
https://bigsoundbank.com/detail-1843-running-in-the-tall-grass.html,https://bigsoundbank.com/UPLOAD/wav/1843.wav,Running in the tall grass,A human is running in the tall grass.,1843.wav,
https://bigsoundbank.com/detail-0001-dial-phone.html,https://bigsoundbank.com/UPLOAD/wav/0001.wav,Dial phone 1,,0001.wav,
https://bigsoundbank.com/detail-0258-recent-car-horn-2.html,https://bigsoundbank.com/UPLOAD/wav/0258.wav,Recent car horn 2,Car horn noise recently.,0258.wav,
https://bigsoundbank.com/detail-1735-raspberry-mouse-single-click.html,https://bigsoundbank.com/UPLOAD/wav/1735.wav,"Raspberry mouse, single click",A simple click of the Raspberry Pi computer mouse.,1735.wav,
https://bigsoundbank.com/detail-0987-big-branching-fire-1.html,https://bigsoundbank.com/UPLOAD/wav/0987.wav,Big branching fire 1,A big branching fire.,0987.wav,
https://bigsoundbank.com/detail-1526-car-door-4.html,https://bigsoundbank.com/UPLOAD/wav/1526.wav,Car door 4,Opening and closing a Peugeot 107 door. Sound outside the car.,1526.wav,
https://bigsoundbank.com/detail-1801-whoosh-8.html,https://bigsoundbank.com/UPLOAD/wav/1801.wav,Whoosh 8,Whoosh made with a metal tube.,1801.wav,
https://bigsoundbank.com/detail-2479-applause-concert-bar-1.html,https://bigsoundbank.com/UPLOAD/wav/2479.wav,Applause concert bar 1,,2479.wav,
https://bigsoundbank.com/detail-1521-splash-big-3.html,https://bigsoundbank.com/UPLOAD/wav/1521.wav,"Splash, big 3","Big ""splash"" of a big stone thrown in a big water tank.",1521.wav,
https://bigsoundbank.com/detail-0166-heels.html,https://bigsoundbank.com/UPLOAD/wav/0166.wav,Heels 1,Footsteps in heels (x9).,0166.wav,
https://bigsoundbank.com/detail-2137-stopwatch-1.html,https://bigsoundbank.com/UPLOAD/wav/2137.wav,Stopwatch 1,Four beats per second of a stopwatch. Easy to loop.,2137.wav,
https://bigsoundbank.com/detail-2402-drum-roll-1-l.html,https://bigsoundbank.com/UPLOAD/wav/2402.wav,Drum roll 1 L,"A snare drum roll. Made with HALion Sonic SE, on Cubase.",2402.wav,
https://bigsoundbank.com/detail-1699-ouverture-ringtone-iphone.html,https://bigsoundbank.com/UPLOAD/wav/1699.wav,Ouverture Ringtone - iPhone,,1699.wav,
https://bigsoundbank.com/detail-1906-birds-waking-4.html,https://bigsoundbank.com/UPLOAD/wav/1906.wav,Birds waking 4,,1906.wav,
https://bigsoundbank.com/detail-2365-doorbell-6.html,https://bigsoundbank.com/UPLOAD/wav/2365.wav,Doorbell 6,Doorbell of a house entrance.,2365.wav,
https://bigsoundbank.com/detail-1388-tinnitus.html,https://bigsoundbank.com/UPLOAD/wav/1388.wav,Tinnitus,"Sound of a tinnitus, as after an explosion.",1388.wav,
https://bigsoundbank.com/detail-0007-clock.html,https://bigsoundbank.com/UPLOAD/wav/0007.wav,Clock,Clock: tick and tack (x9),0007.wav,
https://bigsoundbank.com/detail-0863-horse-neighing-3.html,https://bigsoundbank.com/UPLOAD/wav/0863.wav,Horse neighing 3,One horse neighing.,0863.wav,
https://bigsoundbank.com/detail-1616-answering-machine-beep.html,https://bigsoundbank.com/UPLOAD/wav/1616.wav,Answering machine beep,Telephone beep of an answering machine. This is a sound wave of 825 Hz sinusoidal frequency. This sound is easy to loop.,1616.wav,
https://bigsoundbank.com/detail-1037-white-noise.html,https://bigsoundbank.com/UPLOAD/wav/1037.wav,White noise,,1037.wav,
https://bigsoundbank.com/detail-0302-creaking-door.html,https://bigsoundbank.com/UPLOAD/wav/0302.wav,Creaking door,,0302.wav,
https://bigsoundbank.com/detail-2361-cry-of-pain.html,https://bigsoundbank.com/UPLOAD/wav/2361.wav,Cry of pain,"Argh of a man, like cry of pain.",2361.wav,
https://bigsoundbank.com/detail-1799-whoosh-6.html,https://bigsoundbank.com/UPLOAD/wav/1799.wav,Whoosh 6,Whoosh made with a wooden sheet.,1799.wav,
https://bigsoundbank.com/detail-0432-pink-noise.html,https://bigsoundbank.com/UPLOAD/wav/0432.wav,Pink Noise,,0432.wav,
https://bigsoundbank.com/detail-0904-forest-wind-in-the-trees.html,https://bigsoundbank.com/UPLOAD/wav/0904.wav,Wind in the trees,"The microphones are directed to the sky, to the trees in the forest of Rambouiller (France).",0904.wav,
https://bigsoundbank.com/detail-2370-screeching-tires-3.html,https://bigsoundbank.com/UPLOAD/wav/2370.wav,Screeching tires 3,Squealing of 4 car tires.,2370.wav,
https://bigsoundbank.com/detail-1901-meow-cat-13.html,https://bigsoundbank.com/UPLOAD/wav/1901.wav,Meow cat 13,A meowing cat.,1901.wav,
https://bigsoundbank.com/detail-1930-heart-beat-5.html,https://bigsoundbank.com/UPLOAD/wav/1930.wav,Heart beat 5,Fast beating heart.,1930.wav,
https://bigsoundbank.com/detail-2452-body-fall-1.html,https://bigsoundbank.com/UPLOAD/wav/2452.wav,Body fall 1,"A man falling on a tiled floor, indoors. Thanks to Kellian F. and Yoann B.",2452.wav,
https://bigsoundbank.com/detail-0129-sword.html,https://bigsoundbank.com/UPLOAD/wav/0129.wav,Sword,,0129.wav,
https://bigsoundbank.com/detail-1010-cat-purring-3.html,https://bigsoundbank.com/UPLOAD/wav/1010.wav,Cat purring 3,Purring of a cat.,1010.wav,
https://bigsoundbank.com/detail-0237-shouts-and-applauses-of-teens-2.html,https://bigsoundbank.com/UPLOAD/wav/0237.wav,Shouts and applauses of teens 2,"Teens who shout ""Yeah"" and applauding.",0237.wav,
https://bigsoundbank.com/detail-0170-man-snoring.html,https://bigsoundbank.com/UPLOAD/wav/0170.wav,Man snoring,13 snoring of a sleeping man. Easily loopable.,0170.wav,
https://bigsoundbank.com/detail-0288-barking-dogs.html,https://bigsoundbank.com/UPLOAD/wav/0288.wav,Barking dogs,barking dogs.,0288.wav,
https://bigsoundbank.com/detail-1319-fast-steps-on-concrete.html,https://bigsoundbank.com/UPLOAD/wav/1319.wav,Fast steps on concrete,Running on concrete.,1319.wav,
https://bigsoundbank.com/detail-0526-pedestrian-place.html,https://bigsoundbank.com/UPLOAD/wav/0526.wav,Pedestrian place,Pedestrian place,0526.wav,
https://bigsoundbank.com/detail-1065-typewriter.html,https://bigsoundbank.com/UPLOAD/wav/1065.wav,Typewriter,Several keystrokes and space bar of a mechanical typewriter.,1065.wav,
https://bigsoundbank.com/detail-0035-electronic-alarm-buzzer-1.html,https://bigsoundbank.com/UPLOAD/wav/0035.wav,Electronic alarm (buzzer) 1,Electronic alarm signal,0035.wav,
https://bigsoundbank.com/detail-0905-forest-on-the-edge.html,https://bigsoundbank.com/UPLOAD/wav/0905.wav,Forest: On the edge,"Forest atmosphere recorded near woods. Birds, wind, noise, etc.",0905.wav,
https://bigsoundbank.com/detail-0397-shot-of-winchester-magnum-xtr.html,https://bigsoundbank.com/UPLOAD/wav/0397.wav,Shot of Winchester Magnum XTR,One shot of Winchester Magnum XTR model,0397.wav,
https://bigsoundbank.com/detail-0611-horse-gallop.html,https://bigsoundbank.com/UPLOAD/wav/0611.wav,Horse gallop,,0611.wav,
https://bigsoundbank.com/detail-0228-hiss-of-steam-train-2.html,https://bigsoundbank.com/UPLOAD/wav/0228.wav,Hiss of steam train 2,Hiss of steam train.,0228.wav,
https://bigsoundbank.com/detail-0233-crying-baby.html,https://bigsoundbank.com/UPLOAD/wav/0233.wav,Crying baby,Crying baby.,0233.wav,
https://bigsoundbank.com/detail-0292-small-bell-1.html,https://bigsoundbank.com/UPLOAD/wav/0292.wav,Small bell 1,Small bell.,0292.wav,
https://bigsoundbank.com/detail-0313-crackling-radio-2.html,https://bigsoundbank.com/UPLOAD/wav/0313.wav,Crackling radio 2,Crackling by radio. When switching from one radio channel to another.,0313.wav,
https://bigsoundbank.com/detail-0165-man-footsteps-on-the-wooden-floor.html,https://bigsoundbank.com/UPLOAD/wav/0165.wav,Man footsteps on the wooden floor,Man footsteps on the wooden floor (x13),0165.wav,
https://bigsoundbank.com/detail-1764-tawny-owl-2.html,https://bigsoundbank.com/UPLOAD/wav/1764.wav,Tawny owl 2,,1764.wav,
https://bigsoundbank.com/detail-1417-beep-of-a-cash-register.html,https://bigsoundbank.com/UPLOAD/wav/1417.wav,Beep of a cash register,Beep that we hear at a supermarket checkout. It is a square wave of frequency 860 Hz.,1417.wav,
https://bigsoundbank.com/detail-0433-battery-joke.html,https://bigsoundbank.com/UPLOAD/wav/0433.wav,Battery joke 1,The drum fill for when somebody tells a joke in a stand-up comic or a show.,0433.wav,
https://bigsoundbank.com/detail-0480-atmosphere-bar-2.html,https://bigsoundbank.com/UPLOAD/wav/0480.wav,Atmosphere Bar 2,Atmosphere of a small coffee I made while filming a short film.,0480.wav,
https://bigsoundbank.com/detail-0276-ducks.html,https://bigsoundbank.com/UPLOAD/wav/0276.wav,Ducks,Several cries of ducks.,0276.wav,
https://bigsoundbank.com/detail-1614-tone-ringback-tone-1.html,https://bigsoundbank.com/UPLOAD/wav/1614.wav,"Tone, ringback tone 1",Telephone tone when the phone rings in Europe. This is a sound wave frequency of 440 Hz sinusoidal. This sound is easy to loop.,1614.wav,
https://bigsoundbank.com/detail-0920-glockenspiel.html,https://bigsoundbank.com/UPLOAD/wav/0920.wav,Glockenspiel,Slipped up on a glockenspiel.,0920.wav,
https://bigsoundbank.com/detail-2478-passage-of-small-propeller-plane.html,https://bigsoundbank.com/UPLOAD/wav/2478.wav,Passage of small propeller plane,,2478.wav,
https://bigsoundbank.com/detail-0510-steps-on-gravels.html,https://bigsoundbank.com/UPLOAD/wav/0510.wav,Footsteps on gravels 1,Footsteps on gravels 1,0510.wav,
https://bigsoundbank.com/detail-1162-man-whistling-a-melody.html,https://bigsoundbank.com/UPLOAD/wav/1162.wav,Man whistling a melody,I whistle an improvised melody outside.,1162.wav,
https://bigsoundbank.com/detail-0128-sword-through-the-air.html,https://bigsoundbank.com/UPLOAD/wav/0128.wav,Sword through the air,,0128.wav,
https://bigsoundbank.com/detail-0680-paris-by-night.html,https://bigsoundbank.com/UPLOAD/wav/0680.wav,Paris by night,Soundscape taken at 1 am in Paris at the second floor balcony of an apartment. Place Saint Augustin.,0680.wav,
https://bigsoundbank.com/detail-0187-car-arrival-stop-departure.html,https://bigsoundbank.com/UPLOAD/wav/0187.wav,"Car (arrival, stop, departure)","Car (arrival, stop, departure)",0187.wav,
https://bigsoundbank.com/detail-1020-field-cricket.html,https://bigsoundbank.com/UPLOAD/wav/1020.wav,Field cricket,"Singing a field cricket. Present in France, the field cricket digs a hole in the sunny plains and sings to seduce the female.",1020.wav,
https://bigsoundbank.com/detail-2284-boing-cartoon-8.html,https://bigsoundbank.com/UPLOAD/wav/2284.wav,Boing cartoon 8,Sound of a harp imitating the bounce in a cartoon.,2284.wav,
https://bigsoundbank.com/detail-0840-flight-of-a-pigeon.html,https://bigsoundbank.com/UPLOAD/wav/0840.wav,Flight of a pigeon,Flight of a pigeon from a tree branch.,0840.wav,
https://bigsoundbank.com/detail-0291-car-engine-2.html,https://bigsoundbank.com/UPLOAD/wav/0291.wav,Car engine 2,Motor car : accelerations,0291.wav,
https://bigsoundbank.com/detail-0546-cow-moos.html,https://bigsoundbank.com/UPLOAD/wav/0546.wav,Cow moos 1,,0546.wav,
https://bigsoundbank.com/detail-2249-fire-alarm-communities-3.html,https://bigsoundbank.com/UPLOAD/wav/2249.wav,Fire alarm: communities 3,"Alarme d'incendie que l'on retrouve généralement dans les collectivités (Lycées, collèges, centres, etc.). Same sound as #0268 and #2250, but longer. Difficult to loop.",2249.wav,
https://bigsoundbank.com/detail-1704-apartment-door-closing-1.html,https://bigsoundbank.com/UPLOAD/wav/1704.wav,"Apartment door, closing 1",Closing of a Parisian apartment door. Grinding.,1704.wav,
https://bigsoundbank.com/detail-0475-laugh.html,https://bigsoundbank.com/UPLOAD/wav/0475.wav,Horrible laugh 1,Laugh of a man,0475.wav,
https://bigsoundbank.com/detail-1880-campaign-at-night-4.html,https://bigsoundbank.com/UPLOAD/wav/1880.wav,Campaign at night 4,"Country soundscape in the evening, in a meadow. Field crickets, rare frogs. Recorded on May 5, 2020 around 10 p.m., in France.",1880.wav,
https://bigsoundbank.com/detail-0236-shouts-and-applauses-of-teens-1.html,https://bigsoundbank.com/UPLOAD/wav/0236.wav,Shouts and applauses of teens 1,"Teens who shout ""Yeah"" and applauding.",0236.wav,
https://bigsoundbank.com/detail-0241-flatulence-3.html,https://bigsoundbank.com/UPLOAD/wav/0241.wav,Flatulence 3,Flatulence.,0241.wav,
https://bigsoundbank.com/detail-1082-parisian-park-children-games.html,https://bigsoundbank.com/UPLOAD/wav/1082.wav,"Parisian park, children's games","Many children play in a Parisian park, Place des Etats-Unis.",1082.wav,
https://bigsoundbank.com/detail-2547-vinyl-disc.html,https://bigsoundbank.com/UPLOAD/wav/2547.wav,Vinyl disc,LP turntable. Crunches.,2547.wav,
https://bigsoundbank.com/detail-0183-water-bubble-2.html,https://bigsoundbank.com/UPLOAD/wav/0183.wav,Water bubble 2,Water bubble 2,0183.wav,
https://bigsoundbank.com/detail-0155-whistling-of-the-wind-2.html,https://bigsoundbank.com/UPLOAD/wav/0155.wav,Whistling of the wind 2,,0155.wav,
https://bigsoundbank.com/detail-1464-ambulance-siren-2.html,https://bigsoundbank.com/UPLOAD/wav/1464.wav,2 ton siren,"Horn of a French ambulance. Sound recording outdoors, without engine noise.",1464.wav,
https://bigsoundbank.com/detail-0011-camera.html,https://bigsoundbank.com/UPLOAD/wav/0011.wav,Camera,Digital SLR camera (Nikon D70s): development and release (x2),0011.wav,
https://bigsoundbank.com/detail-1405-sigh-by-the-mouth.html,https://bigsoundbank.com/UPLOAD/wav/1405.wav,Sigh by the mouth,A man who sighs through his mouth.,1405.wav,
https://bigsoundbank.com/detail-1019-summer-rain-on-terrace.html,https://bigsoundbank.com/UPLOAD/wav/1019.wav,Summer rain on terrace,Big drops of summer storm on a terrace.,1019.wav,
https://bigsoundbank.com/detail-0556-cars-passages.html,https://bigsoundbank.com/UPLOAD/wav/0556.wav,Cars: Passages,6 passages of different cars at speeds between 70 and 90 km/h.,0556.wav,
https://bigsoundbank.com/detail-1685-operation-game-4.html,https://bigsoundbank.com/UPLOAD/wav/1685.wav,Operation (game) 4,"Sound of the game ""Operation"" when touching a wall.",1685.wav,
https://bigsoundbank.com/detail-1399-idea-2.html,https://bigsoundbank.com/UPLOAD/wav/1399.wav,Idea 2,"Noise of an idea in the cartoons. This is the note ""Sol"" of a metallophone.",1399.wav,
https://bigsoundbank.com/detail-0505-car-interior-80km-h.html,https://bigsoundbank.com/UPLOAD/wav/0505.wav,"Car (interior, 80km/h)","Car (interior, 80km/h)",0505.wav,
https://bigsoundbank.com/detail-1345-breathless-woman.html,https://bigsoundbank.com/UPLOAD/wav/1345.wav,Breathless woman,A woman breathless after a short ride.,1345.wav,
https://bigsoundbank.com/detail-2136-cave-2.html,https://bigsoundbank.com/UPLOAD/wav/2136.wav,Cave 2,"Sound atmosphere of a cave. Created on computer, with sounds from LaSonotheque: Rain, drops of water and reverberation. Easy to loop.",2136.wav,
https://bigsoundbank.com/detail-0130-flea-1.html,https://bigsoundbank.com/UPLOAD/wav/0130.wav,Flea 1,Flea 1,0130.wav,
https://bigsoundbank.com/detail-1929-heart-beat-4.html,https://bigsoundbank.com/UPLOAD/wav/1929.wav,Heart beat 4,Slow beating heart.,1929.wav,
https://bigsoundbank.com/detail-0659-wind-in-a-tree.html,https://bigsoundbank.com/UPLOAD/wav/0659.wav,Wind in a tree,Wind noise in a tree. Some birdsong.,0659.wav,
https://bigsoundbank.com/detail-0823-small-stream.html,https://bigsoundbank.com/UPLOAD/wav/0823.wav,Small stream,A small mountain stream.,0823.wav,
https://bigsoundbank.com/detail-0312-crackling-radio-1.html,https://bigsoundbank.com/UPLOAD/wav/0312.wav,Crackling radio 1,Crackling by radio. When switching from one radio channel to another.,0312.wav,
https://bigsoundbank.com/detail-0685-walla-group-strong-discussions.html,https://bigsoundbank.com/UPLOAD/wav/0685.wav,Walla group: Strong discussions,"About 25 people. They discuss the strong level, as if there was music. No music or other sounds. Walla group. French.",0685.wav,
https://bigsoundbank.com/detail-1000-bumblebee-1.html,https://bigsoundbank.com/UPLOAD/wav/1000.wav,Bumblebee 1,A bumblebee looking for a flower or a hole to make his nest. It can be a fly or a bee. Birds in the distance.,1000.wav,
https://bigsoundbank.com/detail-1341-gasoline-fire-2.html,https://bigsoundbank.com/UPLOAD/wav/1341.wav,Gasoline fire 2,700 ml of gasoline catches fire.,1341.wav,
https://bigsoundbank.com/detail-0573-whoosh-2.html,https://bigsoundbank.com/UPLOAD/wav/0573.wav,Whoosh 2,,0573.wav,
https://bigsoundbank.com/detail-1035-mobile-vibrator-in-a-hand.html,https://bigsoundbank.com/UPLOAD/wav/1035.wav,Mobile vibrator in a hand,"Sound of an iphone vibrator, in a hand.",1035.wav,
https://bigsoundbank.com/detail-0320-knock-on-the-glass-door-2.html,https://bigsoundbank.com/UPLOAD/wav/0320.wav,Knock on a glass door 2,5 knocks on the glass door.,0320.wav,
https://bigsoundbank.com/detail-1112-message-2.html,https://bigsoundbank.com/UPLOAD/wav/1112.wav,Message 2,"The same ""note"" as the Apple ringtone when receiving a message on an iphone. An octave below.",1112.wav,
https://bigsoundbank.com/detail-1320-open-a-entrance-door-with-a-key.html,https://bigsoundbank.com/UPLOAD/wav/1320.wav,Open a entrance door with a key,Unlock then open an entrance door with a key.,1320.wav,
https://bigsoundbank.com/detail-1102-bell-bike-5.html,https://bigsoundbank.com/UPLOAD/wav/1102.wav,Bell bike 5,The sound of a bicycle bell.,1102.wav,
https://bigsoundbank.com/detail-0451-iphone-ringtone-alarm.html,https://bigsoundbank.com/UPLOAD/wav/0451.wav,"iPhone - Ringtone ""Alarm""","iPhone - Ringtone ""Alarm""",0451.wav,
https://bigsoundbank.com/detail-2372-cheerful-street.html,https://bigsoundbank.com/UPLOAD/wav/2372.wav,Cheerful street,City soundscape after a sporting victory (football world cup). Mostly horns.,2372.wav,
https://bigsoundbank.com/detail-1296-storm-and-rain-on-car-windshield.html,https://bigsoundbank.com/UPLOAD/wav/1296.wav,Storm and rain on car windshield,Storm then big drops of rain on a car windshield. This sound can be immediately preceded by Sound # 1295 (Rain on Windshield Car). Sound recording inside the vehicle.,1296.wav,
https://bigsoundbank.com/detail-0212-car-micheline.html,https://bigsoundbank.com/UPLOAD/wav/0212.wav,Car micheline,Inside an old car micheline.,0212.wav,
https://bigsoundbank.com/detail-0020-applause-300-people.html,https://bigsoundbank.com/UPLOAD/wav/0020.wav,Applause: 300 people,A crowd of 150 people. No hissing or shouting: the sound is pure.,0020.wav,
https://bigsoundbank.com/detail-1044-ball-kicked.html,https://bigsoundbank.com/UPLOAD/wav/1044.wav,Ball kicked,Five foot kicks in a soccer ball.,1044.wav,
https://bigsoundbank.com/detail-0518-floating-floor-squeaks.html,https://bigsoundbank.com/UPLOAD/wav/0518.wav,Floating floor squeaks,Floating floor squeaks,0518.wav,
https://bigsoundbank.com/detail-0127-sword-that-cuts.html,https://bigsoundbank.com/UPLOAD/wav/0127.wav,Sword that cuts,,0127.wav,
